,lextype,id,woi,senseid,context
21,accident-n,800024,accident,532675,"However you could avoid these situations happening to you, should you have an accident &ellip. if you join the Midland Personal Accident Plan now.  Why do I need the Midland Personal Accident Plan? Because none of us know when a permanently disabling accident may strike, it makes good sense to protect against the possible effects."
22,accident-n,800025,accidents,532675,"The causes however, can be simply put.  For every person who exercises their freedom to drive a car there is a cost to many more in terms of delays on public transport, because cars aggravate traffic congestion; in terms of safety, because busy roads lead to accidents; in terms of dirty, infrequent services, because money is diverted away from better public transport; and in terms of quality of life, because cars cause pollution."
23,accident-n,800027,accident,532675,"The following benefits are quoted for Cashguard Plus.  If you are permanently disabled as the result of an accident  you'll be eligible to receive a tax free lump sum of up to  #80,000."
24,accident-n,800028,accident,532675,"He eased his bulk into the seat in front of me, his face mournful yet touched with excitement.  `WF had an accident."
25,accident-n,800030,accident,532675,"He was prescribed Valium for anxiety after promotion when working as a ship's engineer at sea.  Alan, 45, worked as an off-shore pipe fitter on the oil rigs. He was just 22 when he was given tranquillisers following a series of eye operations after surviving a road accident in which his best friend was killed."
26,accident-n,800031,accident,532675,"I would not like to say what they might be.""  If there were a major accident at Wylfa, there were only two bridges across the Menai Straits to evacuate a population of 80,000, he said."
27,accident-n,800032,accident,538889,"Only 1 per cent are over 36, and Simon Donald, 25, Chris Donald's younger brother, says these, perhaps fortunately, do not include his mam and dad, though both are `well chuffed"" by their son's success.  THE London Ambulance Service last night offered to revert to an `open-call"" radio system in an attempt to restore a civilian accident and emergency service."
28,accident-n,800033,accident,538895,"If your experience is overstated your marine insurance will be invalid and you will not be permitted to sail unless we can provide a staff member to complement your crew strength; this will cost you #40 a day.  Our care and supervision does not absolve you from responsibility for rigging and inspecting the equipment you use, and controlling your risk of accident or injury while using it."
29,accident-n,800034,accident,532675,"We found they offered a minimal likelihood of producing a skid.""  But he stressed he couldn't go so far as to say they played no part in the accident."
30,accident-n,800035,accident,532675,"`The stockbroker from across the street?  I am told he is dead in a car accident."""
31,accident-n,800036,accidents,532675,"If you summon up the courage to investigate, you might find not alien creatures but a friendly hedgehog or two, emerging from hibernation and foraging for food among the shrubs in your borders.  Erinaceus europaeus &dash. the common hedgehog to you and me &dash. is, as its name suggests, both common and hog-like in its habits; although in some areas its numbers have been drastically reduced by road accidents and agricultural practices."
32,accident-n,800037,accident,532675,"Jochen Rzeniechi-Weyers, the officer leading the hunt by the Federal Office of Criminal Investigation (BKA) for the army officer's killers, insisted yesterday that the gunman in the passenger seat of the stolen silver Mazda used by the terrorists had been shot by police soon after the murder.  The Federal Prosecutor's office, based in Karlsruhe, would only confirm that traces of blood had been found in the car, which was abandoned on crashing into a ditch after breaking through a road-block. `We cannot say whether this blood was the result of a shooting incident or because of an accident,"" a spokesman for the prosecutor said last night."
33,accident-n,800038,accidents,532678,"Put the whole lot in a changing bag &dash. ideally a big one with zip-up pockets, a good shoulder strap and a clip-on changing mat.  Don't forget that accidents can happen to you, too!"
34,accident-n,800041,accident,532675,"But I would be surprised if I had not hit others and possibly injured them as well.""  The accident caused damage amounting to at least #500 to the front of Mr Olejnik's Renault 25 company car, including the fender and the radiator. Mr Olejnik said he was lucky that the road conditions were fairly dry at the time because otherwise he could have skidded and had a more serious accident."
35,accident-n,800042,accident,532675,"A spokesman for the International Atomic Energy Agency said the agency's name had come to be associated with the story by a rather circular route.  Dr Hans Friedrich Meyer, the second in command of the agency's division of public information, explained that the document being sourced as the agency's internal assessment of the accident was nothing other than a daily resume of international press clippings which was in turn citing Spanish newspaper accounts of the accident."
36,accident-n,800043,accident,532675,"Double-checks with other records could be made.  `The electoral register could show four people living in a household and the community charge form only three; they may be trying to deceive, or their son could have been killed in a motorcycle accident."
37,accident-n,800044,accident,532675,"It is not ghoulish to enjoy the pictures in which the creator of Sally Bowles and Mr Norris decays before our eyes, for in some of the most tragic portraits, the spirit of the young writer still shines out through sunken and puzzled eyes.  The Bachardy technique is magnificent, but this is not an art book, any more than it is an adjunct to the history of literature: it is a moving expression of caring, working on which brought Bachardy through that crisis we all dread most; he went on sketching hours after Isherwood's last breath, until he felt able to let the once-loved body go off for dissection at the hospital to which the author had bequeathed it. Motorcyclist Raymond Barton of Mirfield Road, Witney received minor injuries after an accident with a car in Burford Road, Witney yesterday."
38,accident-n,800045,accidents,532675,"In class actions and other consolidated trials a lead `team"" of the most prominent and expert typically take the helm.  The underclass of `unethical"" and disreputable attorneys, far from still being the model or average, is being disowned, and occasionally embarrassing ambulance-chasing in mass accidents is publicly censured."
39,accident-n,800046,accident,538889,"Nevertheless, a large proportion of claimants receive some compensation, although its proportion to their total economic loss declines precipitately with increasing gravity of the injury.  Thus while the recovery for minor injuries tends to exceed the claimants' economic loss, that for catastrophic injuries falls disastrously short. American no-fault automobile plans developed organically out of the progressive transformation of accident insurance, first- and third-party, from private to a public function."
40,accident-n,800047,accident,532675,The case has been adjourned until November 7th.  A man's been taken to Oxford's John Radcliffe hospital following an industrial accident at Bicester in which his arm was badly injured in machinery.
41,accident-n,800048,accident,532675,"I have learnt a lot this year, especially on the human side.  To be honest I always thought that I would either win this race or there would be an accident."
42,accident-n,800049,accident,532675,"He said he saw the truck reversing and a man walking behind it at about the same speed.  He assumed the man fell without injury while directing the truck, and did not realise there had been a fatal accident until he read the next day's paper. Coroner Mr Nicholas Gardiner said someone usually supervised tipping trucks, but not on the day of the accident."
43,accident-n,800050,accident,532675,"Income from the fund, which the Inland Revenue has agreed to treat as tax-free capital payments rather than taxable interest, will provide Mrs Kelly with #25,562 a year, index-linked.  The judge said the accident had `transformed Mrs Kelly from a lively young woman into a bed-ridden invalid""."
44,accident-n,800051,accident,532675,"Linda paused, a heartbreaking pause, before she said uncertainly: `I don't know, Jenni.  If I say yes of course John's alive, he's had an accident and lost his memory but he's sure to be back, then a voice within me argues: `Don't be ridiculous, how can that be true, someone would have seen him by now, he must be dead."""
45,accident-n,800053,accident,532674,"And if it is, what room is there left for morality, any morality?  Is not Williams' argument one which leads to the rejection not of utilitarianism alone but of any morality not based on the accident of the agent's own projects?"
46,accident-n,800054,accident,538889,"This would have cost between #50 and #60 million, according to confidential papers.  Mystery surrounding the accident inquiry has deepened because the company had no documentary evidence about how the ship was constructed, according to a leaked memorandum dated July 1 1985."
47,accident-n,800055,accident,532675,"The girl was not running or thrashing her arms in a way which would have alerted the supervisor.  Although the plaintiff, without any fault of her own was suddenly thrown on the ground, she could not recover damages from the council because she had not shown that the council was negligent in the way that it looked after the girl, and that the accident was the result of that negligence."
48,accident-n,800056,accident,532675,He showed the forged document.  `I heard about this awful accident on the radio and I'm worried sick &ellip
49,accident-n,800057,accident,538889,"As an emergency he was taken to East Birmingham hospital by ambulancemen working without pay.  In the accident and emergency department, Anthony Cross, the consultant in charge, was ventilating the lungs of a man in his 60s who had taken an overdose."
50,accident-n,800058,accident,532675,"But the current agreement ended at the start of this month and no new guidelines have been agreed.  The only item on today's agenda which has British endorsement is a plan for an EC emergency health card. Based on a successful German scheme, it would provide blood group, allergies and other vital medical information to aid doctors in the event of an accident."
51,accident-n,800059,accident,532675,"Also if you're moving through to Wardington on the 361, resurfacing again has left some temporary traffic lights, that's just to the north of Banbury there, between in fact Banbury and the Daventry road.  If you're moving also through Banbury, of course we have our usual restrictions; the high street is affected and also if you're moving through finally on to the A422, I would mention, in Warwickshire, the Stratford to Alcester road, that has some temporary traffic lights at Taylor's wood. A bit sluggish on the motorways; the M40, the M4 especially at the Thames Valley interchange with the M25, there are some delays there, it's making heavy traffic eastbound on the M4, also we've just heard an accident on the clockwise carriageway of the M25 at the M4 interchange and there are delays both ways, clockwise and anti-clockwise."
52,accident-n,800060,accidents,532675,A sharp knife is essential when carving any joint.  Keeping a knife as sharp as possible also reduces the risk of accidents in the kitchen and makes the cook's job much easier.
53,accident-n,800061,accident,532675,"The system is ill-conceived and will be costly to maintain.  The congestion caused at the junction of Howard Street and the Cowley Road will eventually result in an accident, and I am surprised that the emergency services did not object to the introduction of this scheme."
54,accident-n,800062,accident,532675,"In June, an Echo class nuclear powered submarine carrying nuclear weapons surfaced off the north Norwegian coast after its reactor broke down.  The two incidents concentrated attention on the poor safety record of the Soviet fleet. A few days before the Mike accident, a Soviet submarine captain, based at Northern Fleet's headquarters in Murmansk, wrote in a trade union paper that many crew were so poorly trained that `they know and can cope with only 30 to 50 per cent of what they should be capable of handling""."
55,accident-n,800064,accident,538889,"The county council's principle road safety officer, Mrs Ann Mortlock, said the campaign had the backing of restaurants, garages, filling stations, and shops along the A34.  `The campaign is a further road accident preventative measure time to cover the busy spring and summer season,"" she said."
56,accident-n,800065,accident,532675,A man in a sentry box operating lights at the junction escaped injury when the box was knocked over in the collision between the two vehicles.  The accident happened at about 8:35am.
57,accident-n,800066,accident,538889,"The two sides will meet for talks today.  On Merseyside, crews voted on Monday to refuse to take non-emergency accident patients home after treatment and to limit other services from tomorrow."
58,accident-n,800067,accident,532675,"Brian Wynne's article gave a good account of the farmer's viewpoint of `official"" science and the general problems of scientific communication and credibility raised by the aftermath of Chernobyl (`After Chernobyl: science made too simple?"", 26 January).  However, both the photograph, caption and the subsequent text leave open the issue of whether Sellafield was, or was not, the cause of the elevated radiocaesium levels measured in Cumbrian sheep after the Chernobyl accident."
59,accident-n,800068,accident,532675,"PC Pirouet said there was a road sign warning of the double bend and the word `slow"" painted in the road on the approach.  Vehicle examiner Mr Gilbert Fitchett concluded that one of the bike's tyres was of the wrong type. The combination in use would not have helped road-holding, but would not have caused the accident in isolation."
60,accident-n,800069,accident,538889,"Last year's budget was less than half that amount.  Last year's budget of #153,000 for measures to make accident blackspots safer was also increased, by #95,000."
61,accident-n,800070,accident,538889,The council should stick to providing those essential services which are necessary to everyone.  THE COUNTY surveyor John Peverel-Cooper this week spotlighted the accident toll on Oxfordshire roads. He took the unprecedented step of writing to all county councillors to express his disappointment over the latest road accident figures.
62,accident-n,800071,accident,532675,But drivers were suddenly confronted by dense fog.  Visibility was less than 30 yards on this stretch when the accident happened.
63,accident-n,800072,accident,532675,"If it had happened to anyone else, to any of her friends, half their garments would now be lying under glass or dust around the floor.  But it could not have happened to anyone else, she was almost forgetting that this had not been exactly a freak accident in the way that everyone thought."
64,accident-n,800073,accidents,532675,"Now, just over two years ago, when it was first mooted that the Rockhill site would become a permanent gipsy site, we did then {vocal sound=""um""} conduct {vocal sound=""um""} interviews in the town, and we interviewed something like two and a half thousand people, of which ninety five per cent said that they were against a site in that particular place.  We also gave other reasons at the time, {vocal sound=""um""} principally the road, because the access fronting onto the A forty four there by the proposed site, there'd been a number of accidents and during the consultation period there were actually two people killed bang opposite the proposed entrance to that site at Swingswang. Well let's forget about that, let's forget about the two thousand odd people who've said no, let's forget about the fact that there were these accidents in that road, because no we've got the M forty the A forty four &dash. well the A thirty four as it was &dash. has been relieved of a lot of traffic and from a point of view from the Gipsy Working Party Committee they may well feel that they are even more entitled to go ahead with this site."
65,accident-n,800075,accidents,532675,"Receive in tranquillity and peace, Lord, the souls of all your departed servants who have died recently.  We pray for all those killed each day in wars, disasters and accidents throughout the world; for prisoners of conscience; and all who suffer torture, starvation or maltreatment; and for Mary Wyse and Alfred Osborne, and all whose anniversaries fall at this time of the year."
66,accident-n,800076,accidents,532675,"The best material to use is laminated glass, which is really a sandwich of two pieces of glass with an extremely tough, crystal-clear plastic film inside.  Even under severe impact the glass may crack, but all the pieces will be firmly held together. Obviously, the cost is higher than for ordinary sheet glass, but for any area where accidents are possible the expense is well worthwhile."
67,accident-n,800077,accident,532675,"Most are returned just with the tyres rather curiously worn.  One got rather badly bent, though, and had to be towed quietly away to a convenient spot on the road before the `accident"" could be reported."""
68,accident-n,800078,accident,532675,Norwich Union will also pay all costs and expenses incurred with its written consent.  Reimbursement of additional hotel and travelling expenses necessarily incurred up to a maximum of #300 to reach the booked destination in the event of the Insured Person arriving at the U.K. departure point too late to commence the booked holiday as a result of the failure of public transport services or due to an accident or mechanical failure involving the motor vehicle in which the Insured Person is travelling.
69,accident-n,800081,accidents,532675,"Circle the hazards in ink and completed the entry coupon.  Five winners will each receive a smoke detector, a bottle of alcohol-free Champagne donated by Templars Square management and a Fun in the Parks T-shirt. Many accidents in the kitchen can be avoided if we are careful and think safety first, says Brenda Cook, the city's Home Safety Officer."
70,accident-n,800082,accident,532674,"The two decisions marked the real beginning of a war economy.  Though they came ten days after Hitler's incorporation of Austria into Germany, this was a pure accident."
71,accident-n,800083,accident,532675,"Several senior leaders, especially those trained in the Soviet Union, were known to favour more trade with the Communist world even before the student unrest.  THE curse of Chappaquiddick hangs heavy in the air this week 20 years after an accident that led to the death of Senator Edward Kennedy's female companion and ruined his chances of ever becoming President."
72,accident-n,800084,accidents,532675,"Prof Warrell, who heads the tropical medicine and infectious diseases department at Oxford University, said he is called on several times a month to advise on unusual reptile bites.  `These are very odd accidents and very few people in this country have knowledge of these bites,"" Prof Warrell said."
73,accident-n,800085,accident,532675,"If in another age, his filthy bandages might have been presented as proof of capitalist cruelty, in China today they are a badge of revolutionary courage &dash. bleeding stigmata of socialist sanctity.  Instead of taking time off to let his foot &dash. injured in an industrial accident three months ago &dash. heal, the 48-year-old Mr Fan gets up each morning at 5.30, helps make breakfast for his wife and children, cycles to work at first light and limps through each shift in an ill-lit, noisy workshop without a word of complaint."
74,accident-n,800086,accident,532676,"This is a piece for 11 musicians including piano and vibraphone, which takes a sinuous chromatic figure and subjects it to abstruse cerebral workings out in the manner of Structures or Pli selon pli with the delicate ear for texture that you get in Le Marteau sans maitre.  Only the toughness is missing, the impression that engaging effects arise almost by accident from structural processes."
75,accident-n,800087,accident,532675,"But, when we think of him today, which I can assure you we do, we think of those left behind.  Of Norman, of Jean-Paul and of little Beatrice who feels this as deeply as anyone, including the Sussex branch of the family who, because of the railway accident you all know about, cannot be with us here today."
76,accident-n,800088,accident,532675,"Shettleston), opening a debate on air traffic control and the Civil Aviation Authority, said there was no concrete evidence that safety was at risk.  `But, with ever-increasing demand, pressures on staff, and shortages of staff, there is always the possibility of an accident."""
77,accident-n,800089,accident,532675,"He had been up the night before, working, and decided to drive himself the following morning to Leamington Spa.  Mr Gardiner said it could not be proved that the Sierra hit the kerb before the accident but it seemed likely that when the car swerved he over-corrected. The fact that Mr Cole had not slept the night before contributed to the accident."
78,accident-n,800090,accident,532675,"Contributory negligence has ever presented a challenge to juries' tolerance of a rule of law repugnant to the popular sense of fairness.  That a negligent plaintiff should be barred from all recovery, particularly when he was much less to blame than the defendant, seemed a draconic and disproportionate sanction for carelessness. An exception was allowed when the defendant had the `last clear chance"" to avoid the accident, in which event the all-or-nothing rule dictated that the plaintiff could recover the whole amount of his loss."
79,accident-n,800091,accident,532675,"A ten-year-old boy is recovering today after firemen struggled to dislodge a screw impaled in his foot.  The accident happened last night at about 10.20pm when Warwick Dumas tripped at the top of stairs at his home in Greens Road, Eynsham and fell on a screw sticking out of an aluminium strip on the carpet."
80,accident-n,800092,accident,538889,"The card is available to anyone over 18 with an income of more than #20,000 per annum.  The card costs #50 annually and has the usual gold card benefits, including #250,000 free travel and accident insurance, unsecured overdraft facilities and some extras, such as discounts on hotels, car hire and private medical insurance."
81,accident-n,800093,accident,532675,"Roman Prose is trained by Gerald Cottrell, who also has the current 8-1 favourite Gallant Hope.  Unraced as a two-year-old because of an accident in which he damaged his knees, Roman Prose landed one of last season's most spectacular gambles on his racecourse debut, when he was backed from 33-1 to tens at Folkestone, before going on to land the Portland Handicap at Doncaster under the big weight for a three-year-old of 9st 3lb."
82,accident-n,800094,accident,532674,"`Palestine is a country which no longer exists, except in the hearts of its people.  It disappeared, due to an accident of history."
83,accident-n,800095,accident,532674,Chay was in his element.  He simply could not believe the luck that an accident of field manoeuvres might have put him in command of the defence of Europe.
84,accident-n,800096,accidents,532675,The type of danger could range from an uneven floorboard to rotting guttering that might fall at any time.  Insurance can give you cover against accidents happening to callers and against the state of your property causing injury or loss to any individual.
85,accident-n,800097,accident,538889,"This year he said the county council was planning and building better cycle ways, running more cycling courses, promoting cycle safety helmets and providing traffic calming measures.  To cut pedestrian accidents, Mr Peverel-Cooper said the county was providing road safety teaching programmes to teachers and for motorcyclists, who were involved in fewer accidents last year, the county is setting up a training association and promoting training. For motorists he said the county was encouraging advanced driving courses, promoting alcohol-free driving, running hire schemes for car baby seats and developing road accident prevention schemes."
86,accident-n,800098,accident,532675,"He did, riding the fastest Tour time trial ever at nearly 34mph.  In his three previous Tours he had never finished lower than third, but few believed, after his shooting accident of 1987 and later injuries, he would get back to the top so quickly or so dramatically."
87,accident-n,800099,accident,532675,"A pylon leg is used for six weeks, then a `proper leg"" with a strap replaces the pylon until the patient is ready for the suction limb.  Quite who decided to speed up the process, the hospital or Mick himself, is not clear, but six weeks after the accident a `proper leg"" was fitted."
88,accident-n,800100,accident,532675,"He realized some of his best friends were among the men dead on the ground.  Well obviously it's {vocal sound=""um""} really hard-going when it's you're own people from your own station, {vocal sound=""um""} very {vocal sound=""um""} close station and obviously we know a lot of people {vocal sound=""um""} who have been involved in the accident, but the moral of the men is excellent."
89,accident-n,800102,accidents,532675,"The guidelines, which deal with potential hazards such as getting lost, hypothermia and bad weather, say parents should be informed fully of the educational value of the trip and of any potential dangers.  Staff should know the procedures for reporting accidents and have a working knowledge of first aid."
90,accident-n,800103,accidents,532675,"There is, in fact, no means-limit on criminal legal aid, although some recipients pay means-tested contributions.  Since the mid-Seventies, when policies first appeared, legal expenses insurance has concentrated on a narrow band of claims arising from car accidents and house ownership; many policies are cheap add-ons to house insurance."
91,accident-n,800104,accidents,532675,"In May alone there was a sharp increase of almost 1 1/2 per cent in manufacturing output, which kept unit labour costs down to 3 per cent, but officials said the figure could well have been erratic.  The energy sector has been affected by a 29 per cent drop in North Sea oil extraction over the past year to its lowest level for a decade, which has largely been due to a series of accidents beginning with the Piper Alpha disaster in July 1988."
92,accident-n,800105,accidents,532675,"HARARE (AFP) &dash. An 18-year old British tourist, David Pearson, walking with his father in a National Park in eastern Zimbabwe, died after stepping on what officials said was a boobytrap planted by the Mozambican guerillas, Renamo.  WASHINGTON &dash. Every ship, aircraft and base in the US Navy was observing the first ever service-wide `stand down"" yesterday, ordered after an extraordinary run of naval accidents raised doubts concerning safety and training procedures, Marc Champion reports."
93,accident-n,800106,accidents,532674,"I don't even get on with my brother, we've always been at different schools and I've hardly spoken to him since he went to university.""  `Does that agree with your recollection, Richard?"" Richard muttered an affirmation, his gaze firmly fixed on the spotless grey carpet, and then, feeling obliged to speak up in Murray's cause, added, `I'm sure it's all a dreadful chapter of accidents, sir."
94,accident-n,800107,accident,532675,"John Ward, chairman of the General Aviation Safety Committee, echoed those views.  `You have got all these people trying to get through tiny little gaps,"" he said. `I think that was a factor with the [Surrey] accident."""
95,accident-n,800108,accident,532675,"Four people were injured and and police said yesterday that one man from Leicestershire who had been among the injured had been taken to the Queen's Medical Centre in Nottingham, where his condition was giving concern.  About half an hour after the first accident, six more vehicles, including three lorries, were involved in a crash on the southbound carriageway of the M1 near junction 19 at Rugby."
96,accident-n,800109,accident,532675,"I still had the golf bug.  In 1980 I got chatting to Stan Francourt, the caddie who was with me when I had the accident in 1973."
97,accident-n,800110,Accidents,532675,"His Lordship could find nothing irrational or perverse in the chief constable's decision.  By virtue of section 4 of the Fatal Accidents Act 1976, a widow was entitled to claim, as part of the damages for her husband's death, a dependency amounting to two-thirds of her husband's pension, even though she was still receiving half the amount of that pension from her husband's employers by way of a `widow's allowance""."
98,accident-n,800111,accident,532675,"But we will not allow the courts to prevent industrial action by halting all of a trade union's legitimate functions outside the ambit of a trade dispute &dash. and that is what sequestration means in practice.  BROWSING through the 1989 edition of the Government Statistical Service's Social Trends (HMSO #21.95) at the beginning of this year, I came upon a passage in the chapter on Health and Personal Social Services which may go some way to explaining what must have puzzled many people about the way we are governed: the background to decision-making, and its sustaining rhetoric: `The Department of Transport estimated that the average cost of a fatal road accident in Great Britain in 1987 was just over #555,000, compared with just over #522,000 in 1986."""
99,accident-n,800112,accident,532675,"He was dumbfounded.  All he could think to say eventually was `You used the wrong tense as far as Ted Hughes is concerned, because, unless there has been a tragic accident or a sudden illness, I believe Mr Hughes to be most vigorously alive."""
100,accident-n,800113,accident,538889,"The Lockerbie inquiry was announced by Lord Fraser of Carmyllie, the Lord Advocate, Scotland's senior law officer.  Called a fatal accident inquiry, it will be presided over by a sheriff."
101,accident-n,800114,accident,532675,"Sadly, most people find themselves totally unprepared financially  and the consequences of that can be disastrous.  That's why Lloyds Bank Insurance Services have negotiated with  the Sun Alliance Insurance Group, to bring you, a valued  customer of Lloyds Bank, Accident Cashguard &dash. a Plan that  helps protect you and your family from financial hardship should  a serious accident strike. The Plan will pay substantial cash benefits directly to you, free  of income tax under current Inland Revenue regulations, if you  are permanently disabled as a result of an accident."
102,accident-n,800115,accidents,532675,"The first questions which faced me after my own Worst Day were simple.  Was it an accident, was I pushed, or was I just plain stupid? Most accidents occur as a result of a complicated tangle of bad planning, misjudgement, bad decision making under stress, and a lack of information and mine was no different."
103,accident-n,800116,accident,532676,"But we mostly seemed to buy toys on the way somewhere to do something else.  It is another of life's 765 secrets that you never do the best things deliberately, you pick your pleasures up along the way, by accident."
104,accident-n,800117,accidents,532675,"`This may have been nothing more and nothing less than young people looking for a battleground.""  LARGE-SCALE plans for evacuating thousands of people in the event of an accident at nuclear power stations are to be developed by local authorities, the Advisory Committee on Safety of Nuclear Installations disclosed yesterday, writes Paul Brown. Until now emergency plans have only been for small accidents, with the possibility of anything on the scale of Three Mile Island or Chernobyl officially discounted."
105,accident-n,800118,accident,532675,"You have come very close to doing just that.""  Mrs Shelley Cranshaw, prosecuting, said that the offence came to light when Howell had an accident on the Marcham road."
106,accident-n,800119,accident,532675,"After social inquiry reports had been presented to the court, his solicitor, Mr Jamie Champkin, told magistrates that Fullbrook was `very ashamed"" about the incident.  He denied hiding or running away from the accident at Wootton near Abingdon, and said he had broken his glasses and was only some 20 yards away from the scene of the accident in a garden."
107,accident-n,800120,accident,532675,"Mr Michael Barnes, QC, the inquiry inspector, will be accompanied on his week's visit by two of the inquiry's expert assessors, members of its secretariat, and representatives of the main participants at the inquiry into the Central Electricity Generating Board's plan to build Britain's second pressurised water reactor on the Somerset coast.  The visit, organised with the co-operation of the Soviet authorities, will allow the inquiry to learn how the Soviet Union organised the emergency evacuation of thousands of people three years ago, and what contamination and health problems remain 40 months after the world's worst civil nuclear power station accident."
108,accident-n,800121,accident,532675,No salesman will call.  It only takes a few moments to apply for Accident Cashguard's  important cover. But it could mean the difference between financial security and  financial disaster for you and your family should a serious  accident strike.
109,accident-n,800122,accident,538889,"By contrast, the American preference for pluralism and the free market has led to a proliferation of compensation structures whose aggregate of benefits and expenditures can hold its own in comparison with the welfare efforts elsewhere.  The federal social security system, it is true, makes only a modest contribution to accident compensation, free hospital care being provided only for the elderly (Medicare) and the poor (Medicaid), and disability benefits only for persons (under 65) who suffer total and lasting disablement."
110,accident-n,800123,accident,538889,"TYNDALL, the fund manager, has released a high interest cheque account aimed at the upper end of the market.  Minimum investment is #1,000, and net interest rates are good for cheque accounts at 10.25 per cent for balances below #10,000 and 10.44 per cent above that figure. The account comes with a #100 cheque guarantee card, standing orders, direct debits and free personal accident insurance worth up to twice the outstanding balance on the account."
