***ANY**  999997 U *ANY* UNASSIGNABLE
**ANY**  999998 T *ANY* TYPO
**ANY**  999999 P *ANY* PROPER
consume 512646 eat v consume//1
consume 512647 resource v consume//2
consume 512657 destroy v consume//3
consume 512658 feeling v consume//4
consume 512660 time a time-consuming
consume 512683 use v consume//1.1
consume 514227 read v consume//1.2
consume 514261 passion a consume//4.a
deaf 515364 canthear a deaf//1
deaf 515365 wonthear a deaf//2
deaf 515366 fallon a deaf//3
deaf 515367 deafear a deaf//4
deaf 515368 thedeaf n deaf//1.a
deaf 517766 tondef a tone-deaf
derive 515647 obtain v derive//1
derive 515648 come v derive//4
derive 515671 getmath v derive//2.1
derive 515672 alterfrom v derive//2
derive 515673 getword v derive//2.2
derive 515674 getchem v derive//3
disability 507707 phys n disability//1
disability 520269 physmod n disability//1.a
disability 520270 disadv n disability//2
excess 512402 morethan n excess//1.3
excess 512403 aglut n excess//1
excess 512404 ott n excess//3
excess 512405 toomuch n excess//4
excess 512407 overrun n excess//1.1
excess 512408 toex n excess//1.4
excess 512409 extrasum n excess//1.2
excess 512472 surplus n excess//2
excess 512830 overind n excess//3.1
fascination 509483 qual n fascination//2
fascination 509484 feeling n fascination//1
fascination 509485 count n fascination//1.a
float 523219 fiesta n float//17
float 523220 lorry n float//18
float 523221 swim v float//1
float 523222 currencyact n float//15
float 523223 move v float//3
float 523224 shares v float//6
float 523225 currency v float//7
float 523226 milk n milk_float
float 523234 cash n float//16
float 523235 hover v float//2
float 523236 idea v float//5
float 523237 voter a floating//2.1
float 523246 sharesact n float//14
float 523247 sound v float//4.1
float 523248 rod n float//12.2
float 523261 device n float//12.1
float 523262 platform n float//12.3
float 523271 wobble n float//13
float 523279 oscillate v float//8
float 523280 sport v float//9
float 523306 transport v float//11
float 523309 figmove v float//3.1
float 523310 app v float//4
float 523318 tech v float//10
float 523359 sportact n float//13.1
float 523373 swimming a floating//1
float 523377 suspended a floating//4
float 523378 fluctuating a floating//3
float 523379 swimadv v float//1.1
float 523380 liquid v float//1.2
float 523391 hoveradv v float//2.a
float 523419 wavering a floating//2
float 523424 object n float//12
generous 512274 unstint a generous//1
generous 512275 spacious a generous//6
generous 512277 kind a generous//3
generous 512309 bigbucks a generous//2
generous 512310 copious a generous//5
generous 512410 liberal a generous//4
giant 530183 bigorg n giant//2.2
giant 530184 vbig a giant//4
giant 530185 bigman n giant//2
giant 530187 teams n giant//3
giant 530189 myth n giant//1
giant 530266 species a giant//4.1
giant 530267 gislom a giant_slalom//1
giant 530268 star n giant//2.3
giant 530280 bigex n giant//2.1
giant 530300 extmet n giant//1.1
giant 530322 vtall a giant//4.2
giant 530369 gismod a giant_slalom//1.a
hurdle 524097 obstacle n hurdle//5
hurdle 524098 fence n hurdle//4
hurdle 524099 race n hurdle//3
hurdle 524102 horse n hurdle//2
hurdle 524103 verb v hurdle//6
hurdle 524104 jump n hurdle//1
hurdle 524105 sport n hurdling//1
hurdle 524112 fencing n hurdling//2
hurdle 534240 horsemod n hurdle//2.a
hurdle 534287 verbtrans v hurdle//6.a
hurdle 534288 sportmod n hurdling//1.a
invade 511216 attila v invade//1
invade 511308 absol v invade//1.a
invade 511339 infest v invade//2.1
invade 511340 takeover v invade//2
invade 511342 encroach v invade//3
invade 511343 habitat v invade//2.2
invade 518924 invading a invade//1.b
invade 518926 infesting a invade//2.1.a
knee 516619 patella n knee//1
knee 516627 handsand n knee//2.2
knee 516629 garment n knee//1.1
knee 516630 bringto n knee//2.4
knee 516631 kneeling n knee//2
knee 516632 lap n knee//3
knee 516633 onits n knee//2.3
knee 516647 jerk n knee-jerk//2
knee 516648 verb v knee//4
knee 516655 bow n knee//1.2
knee 516668 cap n kneecap
knee 516670 breech n knee-breeches
knee 516678 deep a knee-deep//1
knee 516686 up n knees-up
knee 516705 hole n kneehole//1
knee 516706 atsbs n knee//3.1
knee 516709 weak n knee//1.3
knee 516717 bend n knee//2.1
knee 516736 **NONE** n knee-jerk//1
knee 516743 holemod n kneehole//1.a
knee 517028 trembler n knee_trembler
knee 517036 patellamod n knee//1.a
knee 517085 length a knee-length
knee 517214 pad n knee-pad
knee 517223 sock n knee-sock
knee 517238 high a knee-high//1
knee 517239 short a knee-high//2
knee 517258 grasshopper a knee-high//2.a
knee 517325 init a knee-deep//2
knee 517341 initfig a knee-deep//3
modest 510838 shy a modest//1.1
modest 510839 small a modest//2
modest 510840 notc a modest//1
modest 510841 unspec a modest//3
modest 510842 humble a modest//3.1
modest 510870 small-comb a modest//2.a
modest 510913 adeq a modest//2.1
modest 510922 inept a modest//2.2
modest 510971 unamb a modest//3.2
onion 528344 plant n onion//2
onion 528347 veg n onion//1
onion 528348 spring n spring_onion
onion 528375 roofed a onion-domed
onion 528376 basil n onion_dome
promise 537527 vow v promise//1
promise 537563 likely v promise//3
promise 537566 vown n promise//4
promise 537573 likelyn n promise//5
promise 537584 predict v promise//2
promise 537614 ingadj a promising
promise 537624 reflex v promise//1.1
promise 537625 vowa a promise//1.a
promise 537626 success n promise//6
promise 537655 prag v promise//2.1
promise 537656 well v promise//3.1
promise 538409 keep n promise//4.3
promise 538410 break n promise//4.4
promise 538411 make n promise//4.1
promise 538412 give n promise//4.2
promise 538413 brop n breach_of_promise
rabbit 528435 anim n rabbit/1/1
rabbit 528436 on v rabbit_on/2
rabbit 528439 toy n rabbit/1/2
rabbit 528440 surprise n rabbit/1/3
rabbit 528441 food n rabbit/1/1.1
rabbit 528442 fur n rabbit/1/1.2
rabbit 528457 habitat n rabbit_warren//1
rabbit 528458 maze n rabbit_warren//2
rabbit 528480 punch n rabbit_punch
sack 504750 football v sack/1/6
sack 504751 dismiss v sack/1/4
sack 504752 boot n sack/1/2
sack 504753 firing n sacking/1/1
sack 504754 looting n sacking/2/1
sack 504755 material n sacking/1/2
sack 504756 bag n sack/1/1
sack 504757 putsack v sack/1/5
sack 504758 wine n sack/3
sack 504767 loot n sack/2/2
sack 504768 bed n sack/1/3
sack 504787 pillage v sack/2/1
sack 505121 potatoes n sack/1/1.1
sack 518763 sackcoat n sack_coat
sack 518774 tackle n sack/1/6.a
sanction 506383 approval n sanction//3
sanction 506384 penalty n sanction//2
sanction 506385 econaction n sanction//1
sanction 506429 approve v sanction//5
sanction 506460 penalize v sanction//6
sanction 506644 power n sanction//4
sanction 518740 econsing n sanction//1.a
scrap 534528 waste n scrap/1/2.1
scrap 534529 metal n scrap/1/2
scrap 534530 fight v scrap/2/2
scrap 534531 punchup n scrap/2/1
scrap 534532 bit n scrap/1/1
scrap 534533 cutup v scrap/1/4.1
scrap 534534 cancel v scrap/1/4
scrap 534541 litpile n scrap_heap//1
scrap 534542 junkpile n scrap_heap//1.1
scrap 534544 woodhams n scrapyard
scrap 534545 scmetal n scrap_metal//1
scrap 534560 scbook n scrapbook//1
scrap 534577 morsel n scrap/1/1.1
scrap 534579 cutting n scrap/1/3
scrap 534616 scmmod n scrap_metal//1.a
scrap 534623 title n scrapbook//1.1
scrap 534632 notabit n scrap/1/1.a
seize 507295 on v seize_on_or_upon/2/1
seize 507296 up v seize_up/3/1
seize 507297 opport v seize/1/4
seize 507300 grab v seize/1/1
seize 507302 possess v seize/1/2
seize 507303 confisc v seize/1/3.1
seize 507307 affect v seize/1/5.1
seize 507389 engine v seize/1/7
seize 507392 of.law a seize/1/6.1
seize 507398 on.situ v seize_on_or_upon/2/2
seize 507435 of a seize/1/6.2
seize 507467 hostage v seize/1/3.2
seize 507478 arouse v seize/1/5.2
shake 504336 head v shake/1/3
shake 504337 hand v shake/1/4
shake 504338 move v shake/1/1
shake 504353 fist v shake/1/5
shake 504355 tremble v shake/1/2
shake 504410 disturb v shake/1/6
shake 504412 ideas v shake/1/7
shake 504537 up v shake_up/5/2
shake 504584 out v shake_out/4/1
shake 504585 off v shake_off/3/1
shake 504600 down v shake_down/2/1
shake 506815 leg v shake/1/8
shake 506816 no-great n shake/1/11
shake 516365 movement n shake/1/9
shake 516366 wobbles n shake/1/10
shake 516388 launch n shakedown//3
shake 516389 rough n shakedown//2
shake 516390 down-noun n shakedown//1
shake 516391 up-noun n shake-up
shake 516399 out-noun n shake-out
shake 516494 shoes v shake/1/2.1
shake 516495 voice v shake/1/2.2
shake 516517 clean v shake/1/1.1
shake 516518 dust v shake/1/1.2
shake 516519 move-absol v shake/1/1.a
shake 516520 drink n milk_shake
shake 516551 troubled a shaken
shake 516567 move-nu n shake/1/9.a
shake 516605 settle v shake_down/2/2
shake 516606 extort v shake_down/2/3
shake 516626 lose v shake_off/3/2
shake 516669 sort v shake_out/4/2
shake 516708 emotion v shake_up/5/3
shake 516716 agitate v shake_up/5/1
shake 516772 greeting n handshake
shake 516773 gold n golden_handshake
shirt 506479 garment n shirt//1
shirt 506540 sport n shirt//1.1
shirt 506678 shsleeve n shirtsleeve//1
shirt 506679 in n shirtsleeve//2
shirt 514748 swshirt n sweatshirt
shirt 521289 sleeved a shirtsleeved
shirt 521306 garmod n shirt//1.a
shirt 521312 hairsh n hair_shirt
shirt 521313 teesh n T-shirt
slight 537043 tiny a slight/1/1
slight 537044 superl a slight/1/1.1
slight 537045 inthe n slight/1/1.2
slight 537046 wimp a slight/1/3
slight 537047 snub n slight/3
slight 537048 offend v slight/2/1
slight 537049 insubst a slight/1/2
slight 537053 offended a slight/2/1.a
slight 537062 cutting a slight/2/1.b
steering 506792 mech n steering//2
steering 506800 action n steering//1
steering 525392 steercol n steering_column
steering 533519 mechmod n steering//2.a
steering 533626 wheel n steering_wheel
steering 533652 committee a steering_committee
steering 533653 group a steering_group
wooden 523269 caine a wooden//2
wooden 523270 ofwood a wooden//1
wooden 523277 wsp a wooden_spoon//1
wooden 523278 bottom a wooden_spoon//2
